City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
160,Grand-Lahou,CI,76.44,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
162,Kavaratti,IN,82.11,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
163,Houma,US,84.99,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
165,Kahului,US,86.02,clear sky,20.8947,-156.47,Maui Seaside Hotel
166,Gunjur,GM,75.27,moderate rain,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
168,Aldan,RU,75.58,scattered clouds,58.6031,125.3894,Aldan Guest House
172,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
173,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
175,Nishihara,JP,87.85,broken clouds,26.1842,127.7558,Minshuku Agaihama
178,Kismayo,SO,76.37,light rain,-0.3582,42.5454,Agan-Hotel
179,Winneba,GH,75.25,overcast clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
184,San-Pedro,CI,76.1,overcast clouds,4.7485,-6.6363,Hotel Maria
188,Shingu,JP,78.49,overcast clouds,33.7333,135.9833,Shingu UI Hotel
190,Gannan,CN,79.5,overcast clouds,47.9147,123.5031,Gannan Supply and Marketing Cooperatives Hostel
191,Samana,DO,78.42,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
192,Puerto Escondido,MX,78.91,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
196,Cabo San Lucas,MX,84.61,few clouds,22.8909,-109.9124,Vista Roof Restaurant
197,Xucheng,CN,87.51,overcast clouds,20.35,110.1288,Haixing Hotel
209,Champerico,GT,78.64,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
213,Acapulco,MX,78.6,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
218,Saint Anthony,US,89.49,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
